2025-06-17 13:58:53,521 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 13:58:53,522 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_135853.log
2025-06-17 13:58:53,522 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 13:58:53,522 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 13:58:53,523 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 50
2025-06-17 13:58:53,523 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [50, 1275, 50]
2025-06-17 13:58:53,524 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 13:58:53,524 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 13:58:53,524 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=256
2025-06-17 13:58:53,524 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 13:58:53,525 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetCCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 13:58:53,525 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=50 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 50)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.719405e+00 | ‖ω‖₁=4.976863e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.676538e-01 | ‖ω‖₁=4.766866e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.284421e-01 | ‖ω‖₁=4.657608e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.321657e-01 | ‖ω‖₁=4.535891e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.362941e-01 | ‖ω‖₁=4.435359e+01
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=6.087139e-01 | ‖ω‖₁=4.295499e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=7.855633e-01 | ‖ω‖₁=4.160560e+01
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.031972e+00 | ‖ω‖₁=3.996571e+01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.268041e+00 | ‖ω‖₁=3.832921e+01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.576146e+00 | ‖ω‖₁=3.652284e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.878079e+00 | ‖ω‖₁=3.471304e+01
  → at λ=1.000e-03:  r(λ)=50,  rel_err=2.594144e-01

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 50)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.004978e+00 | ‖ω‖₁=4.974957e+01
