2025-06-17 14:02:04,520 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 14:02:04,521 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_140204.log
2025-06-17 14:02:04,521 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 14:02:04,522 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 14:02:04,522 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-17 14:02:04,522 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [250, 2500, 250]
2025-06-17 14:02:04,523 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 14:02:04,523 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 14:02:04,524 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 14:02:04,524 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 14:02:04,524 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetCCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 14:02:04,525 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 100)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.876692e+01 | ‖ω‖₁=9.929571e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.888171e-01 | ‖ω‖₁=9.141843e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.954867e-01 | ‖ω‖₁=8.408557e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.876605e-01 | ‖ω‖₁=7.667743e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.394044e-01 | ‖ω‖₁=6.938632e+01
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.313016e-01 | ‖ω‖₁=6.185448e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.156436e-01 | ‖ω‖₁=5.441327e+01
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.331076e-01 | ‖ω‖₁=4.678826e+01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.431726e-01 | ‖ω‖₁=3.923094e+01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.137466e-01 | ‖ω‖₁=3.155862e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=2.911667e-01 | ‖ω‖₁=2.397745e+01
  → at λ=1.000e-03:  r(λ)=100,  rel_err=1.023889e-01

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 100)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.048583e+01 | ‖ω‖₁=9.920639e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.593328e-01 | ‖ω‖₁=8.993358e+01
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.655462e-01 | ‖ω‖₁=8.111061e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.347018e-01 | ‖ω‖₁=7.220310e+01
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.109535e-01 | ‖ω‖₁=6.344811e+01
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.987601e-01 | ‖ω‖₁=5.440920e+01
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.790487e-01 | ‖ω‖₁=4.547756e+01
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.233410e-01 | ‖ω‖₁=3.634422e+01
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.663467e-01 | ‖ω‖₁=2.732332e+01
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=5.621156e-01 | ‖ω‖₁=1.823659e+01
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.508747e+00 | ‖ω‖₁=9.490616e+00
  → at λ=1.200e-03:  r(λ)=100,  rel_err=2.414239e-01

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 100)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.249753e+01 | ‖ω‖₁=9.911194e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.533872e-01 | ‖ω‖₁=8.812520e+01
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=7.195046e-01 | ‖ω‖₁=7.737882e+01
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.695002e-01 | ‖ω‖₁=6.652455e+01
  λ=1.440e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.514724e-01 | ‖ω‖₁=5.581127e+01
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.588007e-01 | ‖ω‖₁=4.485066e+01
  λ=1.440e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.538729e-01 | ‖ω‖₁=3.403269e+01
