2025-06-17 14:04:31,797 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 14:04:31,797 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_140431.log
2025-06-17 14:04:31,798 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 14:04:31,798 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 14:04:31,798 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-17 14:04:31,799 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [100, 2000, 100]
2025-06-17 14:04:31,799 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 14:04:31,799 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 14:04:31,800 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 14:04:31,800 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 14:04:31,800 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetCCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 14:04:31,800 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 100)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.030566e-01 | ‖ω‖₁=9.933431e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.329078e-02 | ‖ω‖₁=9.464309e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.215504e-02 | ‖ω‖₁=9.231719e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.648885e-02 | ‖ω‖₁=8.768218e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.336267e-02 | ‖ω‖₁=8.307610e+01
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.179793e-02 | ‖ω‖₁=7.690195e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.264066e-02 | ‖ω‖₁=7.071581e+01
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.193206e-02 | ‖ω‖₁=6.367943e+01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.800881e-02 | ‖ω‖₁=5.661538e+01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=6.088530e-02 | ‖ω‖₁=4.913824e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=7.253643e-02 | ‖ω‖₁=4.166592e+01
  → at λ=1.000e-03:  r(λ)=100,  rel_err=5.082094e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 100)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.434854e-01 | ‖ω‖₁=9.924093e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.087863e-02 | ‖ω‖₁=9.309831e+01
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.054084e-02 | ‖ω‖₁=8.938867e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.983940e-02 | ‖ω‖₁=8.305659e+01
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.684856e-02 | ‖ω‖₁=7.672526e+01
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.462480e-02 | ‖ω‖₁=6.886166e+01
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.766782e-02 | ‖ω‖₁=6.097492e+01
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=6.134568e-02 | ‖ω‖₁=5.230996e+01
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=7.069293e-02 | ‖ω‖₁=4.364229e+01
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=8.983212e-02 | ‖ω‖₁=3.463139e+01
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.093989e-01 | ‖ω‖₁=2.571786e+01
  → at λ=1.200e-03:  r(λ)=100,  rel_err=6.246280e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 100)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.474046e-01 | ‖ω‖₁=9.913262e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.194723e-01 | ‖ω‖₁=9.160666e+01
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=6.101193e-02 | ‖ω‖₁=8.645096e+01
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.686118e-02 | ‖ω‖₁=7.819486e+01
  λ=1.440e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.229787e-02 | ‖ω‖₁=6.987192e+01
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.178708e-02 | ‖ω‖₁=6.004102e+01
  λ=1.440e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.276390e-02 | ‖ω‖₁=5.018612e+01
  λ=1.440e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=6.482900e-02 | ‖ω‖₁=3.962854e+01
  λ=1.440e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=7.770586e-02 | ‖ω‖₁=2.918271e+01
  λ=1.440e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.211199e-01 | ‖ω‖₁=1.896351e+01
  λ=1.440e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.551727e-01 | ‖ω‖₁=1.117935e+01
  → at λ=1.440e-03:  r(λ)=100,  rel_err=7.408432e-02

-- Path iteration 4, λ = 1.728e-03   (r(λ) prev = 100)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.519414e-01 | ‖ω‖₁=9.900660e+01
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.492127e-01 | ‖ω‖₁=8.983078e+01
  λ=1.728e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.075440e-02 | ‖ω‖₁=8.231696e+01
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.287254e-02 | ‖ω‖₁=7.161803e+01
  λ=1.728e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.912756e-02 | ‖ω‖₁=6.085389e+01
  λ=1.728e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.527505e-02 | ‖ω‖₁=4.867606e+01
  λ=1.728e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.859714e-02 | ‖ω‖₁=3.654878e+01
  λ=1.728e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=6.569731e-02 | ‖ω‖₁=2.402704e+01
  λ=1.728e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=9.297003e-02 | ‖ω‖₁=1.345367e+01
  λ=1.728e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.228595e-01 | ‖ω‖₁=7.074652e+00
  λ=1.728e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.226468e-01 | ‖ω‖₁=4.872583e+00
  → at λ=1.728e-03:  r(λ)=100,  rel_err=6.548645e-02

-- Path iteration 5, λ = 2.074e-03   (r(λ) prev = 100)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=4.555810e-01 | ‖ω‖₁=9.883424e+01
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.631949e-01 | ‖ω‖₁=8.787963e+01
  λ=2.074e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.597157e-02 | ‖ω‖₁=7.766501e+01
  λ=2.074e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.390343e-02 | ‖ω‖₁=6.419409e+01
  λ=2.074e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.582481e-01 | ‖ω‖₁=5.036900e+01
  λ=2.074e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.321200e-02 | ‖ω‖₁=3.531875e+01
  λ=2.074e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=6.768899e-02 | ‖ω‖₁=2.098888e+01
  λ=2.074e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.201163e-01 | ‖ω‖₁=9.930825e+00
  λ=2.074e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.261443e-01 | ‖ω‖₁=5.014576e+00
  λ=2.074e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.162471e-01 | ‖ω‖₁=4.464911e+00
  λ=2.074e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.078542e-01 | ‖ω‖₁=4.231313e+00
  → at λ=2.074e-03:  r(λ)=100,  rel_err=6.162593e-02

-- Path iteration 6, λ = 2.488e-03   (r(λ) prev = 100)
  λ=2.488e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.679921e-01 | ‖ω‖₁=9.867455e+01
  λ=2.488e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.809998e-01 | ‖ω‖₁=8.450719e+01
