2025-06-17 12:42:45,033 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-17 12:42:45,033 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250617_124245.log
2025-06-17 12:42:45,034 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-17 12:42:45,034 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-17 12:42:45,035 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-17 12:42:45,035 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 1200, 2400]
2025-06-17 12:42:45,035 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-17 12:42:45,035 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-17 12:42:45,036 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-17 12:42:45,036 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-17 12:42:45,036 - sparsemodesnet.heat_equation - INFO - NN type: PiNetNCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-17 12:42:45,037 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.604179e-04 | ‖ω‖₁=1.269362e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.623300e-07 | ‖ω‖₁=1.088289e+02
  λ=1.000e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=4.420045e-07 | ‖ω‖₁=8.869281e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.672416e-08 | ‖ω‖₁=6.848924e+01
  λ=1.000e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=6.082939e-07 | ‖ω‖₁=4.826722e+01
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.918219e-07 | ‖ω‖₁=2.803719e+01
  λ=1.000e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=7.945327e-07 | ‖ω‖₁=1.192812e+01
  λ=1.000e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.321282e-06 | ‖ω‖₁=1.056695e+01
  λ=1.000e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=1.294456e-06 | ‖ω‖₁=9.610564e+00
  λ=1.000e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=3.626475e-07 | ‖ω‖₁=8.784602e+00
  λ=1.000e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=4.332776e-07 | ‖ω‖₁=8.020836e+00
  λ=1.000e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=2.692079e-07 | ‖ω‖₁=7.490708e+00
  λ=1.000e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=2.601413e-07 | ‖ω‖₁=7.069094e+00
  → at λ=1.000e-03:  r(λ)=128,  rel_err=1.376093e-03

-- Path iteration 2, λ = 1.100e-03   (r(λ) prev = 128)
  λ=1.100e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.429831e-04 | ‖ω‖₁=1.268316e+02
  λ=1.100e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.782589e-07 | ‖ω‖₁=1.068778e+02
  λ=1.100e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=7.703334e-06 | ‖ω‖₁=8.471087e+01
  λ=1.100e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.534446e-07 | ‖ω‖₁=6.246753e+01
  λ=1.100e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=1.504214e-06 | ‖ω‖₁=4.019379e+01
