2025-06-17 13:34:37,114 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 13:34:37,115 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_133437.log
2025-06-17 13:34:37,115 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 13:34:37,116 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 13:34:37,116 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-17 13:34:37,116 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [100, 2000, 100]
2025-06-17 13:34:37,117 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 13:34:37,117 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 13:34:37,118 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 13:34:37,118 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 13:34:37,118 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetCCP with polynomial order of 3, and 2 number of polynomial blocks
2025-06-17 13:34:37,118 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 100)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.457803e+03 | ‖ω‖₁=9.931865e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.230312e+00 | ‖ω‖₁=9.157840e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.028040e+00 | ‖ω‖₁=8.357579e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.821128e+00 | ‖ω‖₁=7.557717e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.066135e+00 | ‖ω‖₁=6.758029e+01
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.703877e+00 | ‖ω‖₁=5.958288e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=6.712832e+00 | ‖ω‖₁=5.158639e+01
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=9.088337e+00 | ‖ω‖₁=4.358875e+01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.182584e+01 | ‖ω‖₁=3.559161e+01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.492560e+01 | ‖ω‖₁=2.759345e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.838591e+01 | ‖ω‖₁=1.959558e+01
  → at λ=1.000e-03:  r(λ)=100,  rel_err=8.122919e-01

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 100)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.671756e+03 | ‖ω‖₁=9.927537e+01
