2025-06-18 12:20:08,627 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-18 12:20:08,628 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250618_122008.log
2025-06-18 12:20:08,628 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-18 12:20:08,629 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-18 12:20:08,629 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-18 12:20:08,630 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256, 2048]
2025-06-18 12:20:08,630 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-18 12:20:08,630 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-18 12:20:08,630 - sparsemodesnet.heat_equation - INFO - Training parameters: M=4.0, lr=0.001, batch_size=100
2025-06-18 12:20:08,631 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-18 12:20:08,631 - sparsemodesnet.heat_equation - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-18 12:20:08,631 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=4.551105e-02 | ‖ω‖₁=1.272996e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.257446e-06 | ‖ω‖₁=1.158029e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.993602e-07 | ‖ω‖₁=1.031132e+02
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.191226e-07 | ‖ω‖₁=9.041826e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.747160e-07 | ‖ω‖₁=7.770338e+01
  λ=1.000e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.958722e-06 | ‖ω‖₁=6.498095e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.357542e-06 | ‖ω‖₁=5.223572e+01
  λ=1.000e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=9.528814e-06 | ‖ω‖₁=3.947751e+01
  λ=1.000e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.556201e-05 | ‖ω‖₁=2.671107e+01
  → at λ=1.000e-03:  r(λ)=128,  rel_err=1.111632e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 128)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.411499e-02 | ‖ω‖₁=1.271427e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.161663e-06 | ‖ω‖₁=1.133273e+02
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=9.706351e-07 | ‖ω‖₁=9.804794e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.425007e-06 | ‖ω‖₁=8.278051e+01
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.714837e-06 | ‖ω‖₁=6.750335e+01
  λ=1.200e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=4.974373e-06 | ‖ω‖₁=5.222159e+01
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=7.790479e-06 | ‖ω‖₁=3.691906e+01
  λ=1.200e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=2.374175e-05 | ‖ω‖₁=2.160523e+01
  λ=1.200e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.322242e-04 | ‖ω‖₁=6.291814e+00
  → at λ=1.200e-03:  r(λ)=128,  rel_err=3.530052e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 128)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.422580e-02 | ‖ω‖₁=1.269818e+02
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.544444e-06 | ‖ω‖₁=1.104074e+02
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=9.959182e-07 | ‖ω‖₁=9.209622e+01
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.221557e-06 | ‖ω‖₁=7.378605e+01
  λ=1.440e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.718674e-06 | ‖ω‖₁=5.545475e+01
  λ=1.440e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=7.073170e-06 | ‖ω‖₁=3.711573e+01
  λ=1.440e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.548957e-05 | ‖ω‖₁=1.875276e+01
  λ=1.440e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.204713e-03 | ‖ω‖₁=3.214056e+00
  λ=1.440e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=3.332128e-04 | ‖ω‖₁=2.749614e+00
  → at λ=1.440e-03:  r(λ)=128,  rel_err=5.421432e-02

-- Path iteration 4, λ = 1.728e-03   (r(λ) prev = 128)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.556258e-02 | ‖ω‖₁=1.267769e+02
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.999501e-06 | ‖ω‖₁=1.069514e+02
  λ=1.728e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.532585e-06 | ‖ω‖₁=8.497754e+01
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.415082e-06 | ‖ω‖₁=6.299998e+01
  λ=1.728e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.226357e-06 | ‖ω‖₁=4.099343e+01
  λ=1.728e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.908322e-05 | ‖ω‖₁=1.897168e+01
  λ=1.728e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.066878e-04 | ‖ω‖₁=3.170305e+00
  λ=1.728e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.538879e-04 | ‖ω‖₁=2.705574e+00
  λ=1.728e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=7.112429e-04 | ‖ω‖₁=2.470818e+00
  → at λ=1.728e-03:  r(λ)=128,  rel_err=7.332570e-02

-- Path iteration 5, λ = 2.074e-03   (r(λ) prev = 128)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.958394e-02 | ‖ω‖₁=1.265395e+02
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.936684e-06 | ‖ω‖₁=1.027228e+02
  λ=2.074e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.463668e-06 | ‖ω‖₁=7.634221e+01
