2025-06-17 13:32:15,819 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 13:32:15,819 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_133215.log
2025-06-17 13:32:15,820 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 13:32:15,820 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 13:32:15,820 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-17 13:32:15,821 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [100, 2000, 100]
2025-06-17 13:32:15,821 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 13:32:15,821 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 13:32:15,822 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 13:32:15,822 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 13:32:15,822 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-17 13:32:15,822 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 100)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.810234e+00 | ‖ω‖₁=9.928520e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.354597e-01 | ‖ω‖₁=9.211026e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.596437e-01 | ‖ω‖₁=8.783056e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.782073e-01 | ‖ω‖₁=8.241906e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.300592e-01 | ‖ω‖₁=7.719814e+01
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.499468e-01 | ‖ω‖₁=7.075414e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.410441e-01 | ‖ω‖₁=6.434490e+01
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.674131e-01 | ‖ω‖₁=5.725472e+01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.809985e-01 | ‖ω‖₁=5.018988e+01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.324861e-01 | ‖ω‖₁=4.278186e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=2.750461e-01 | ‖ω‖₁=3.542268e+01
  → at λ=1.000e-03:  r(λ)=100,  rel_err=9.915316e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 100)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.961826e+00 | ‖ω‖₁=9.922441e+01
