2025-06-17 17:40:20,204 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 17:40:20,205 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_174020.log
2025-06-17 17:40:20,205 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 17:40:20,205 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 17:40:20,206 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 17:40:20,206 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [200, 5000, 200]
2025-06-17 17:40:20,206 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 17:40:20,207 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 17:40:20,207 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 17:40:20,207 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 17:40:20,208 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetCCP with polynomial order of 2, and 3 number of polynomial blocks
2025-06-17 17:40:20,208 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 200)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.997541e-02 | ‖ω‖₁=1.990716e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.810934e+14 | ‖ω‖₁=1.835404e+02
  λ=1.000e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=2.558151e+13 | ‖ω‖₁=1.661440e+02
  λ=1.000e-03 | Epoch  30 | lr=1.0000e-03 | Recon MSE=8.547039e+11 | ‖ω‖₁=1.501367e+02
  λ=1.000e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=1.346290e+11 | ‖ω‖₁=1.341368e+02
  λ=1.000e-03 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.227867e+10 | ‖ω‖₁=1.181369e+02
  λ=1.000e-03 | Epoch  60 | lr=5.0000e-04 | Recon MSE=3.206422e+09 | ‖ω‖₁=1.021371e+02
  λ=1.000e-03 | Epoch  70 | lr=5.0000e-04 | Recon MSE=3.726916e+08 | ‖ω‖₁=8.613716e+01
  λ=1.000e-03 | Epoch  80 | lr=2.5000e-04 | Recon MSE=2.786074e+07 | ‖ω‖₁=7.013717e+01
  λ=1.000e-03 | Epoch  90 | lr=2.5000e-04 | Recon MSE=1.175383e+06 | ‖ω‖₁=5.413718e+01
  λ=1.000e-03 | Epoch 100 | lr=2.5000e-04 | Recon MSE=2.060672e+04 | ‖ω‖₁=3.813718e+01
  λ=1.000e-03 | Epoch 110 | lr=2.5000e-04 | Recon MSE=8.421579e+01 | ‖ω‖₁=2.213716e+01
  λ=1.000e-03 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.627228e+01 | ‖ω‖₁=9.595984e+00
