2025-06-17 13:01:42,072 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-17 13:01:42,073 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250617_130142.log
2025-06-17 13:01:42,073 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-17 13:01:42,074 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-17 13:01:42,074 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-17 13:01:42,075 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 1200, 8256]
2025-06-17 13:01:42,075 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-17 13:01:42,076 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-17 13:01:42,076 - sparsemodesnet.heat_equation - INFO - Training parameters: M=5.0, lr=0.001, batch_size=64
2025-06-17 13:01:42,077 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-17 13:01:42,077 - sparsemodesnet.heat_equation - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-17 13:01:42,077 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.655696e-02 | ‖ω‖₁=1.269209e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.871278e-07 | ‖ω‖₁=1.085500e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=8.718042e-07 | ‖ω‖₁=8.824229e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.100623e-06 | ‖ω‖₁=6.794807e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.041864e-06 | ‖ω‖₁=4.762745e+01
  λ=1.000e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=4.649704e-06 | ‖ω‖₁=2.729445e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=9.748290e-06 | ‖ω‖₁=6.921772e+00
  λ=1.000e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=2.022879e-05 | ‖ω‖₁=2.628505e+00
  λ=1.000e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=6.948411e-05 | ‖ω‖₁=2.230347e+00
  → at λ=1.000e-03:  r(λ)=128,  rel_err=2.436919e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 128)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=4.087189e-02 | ‖ω‖₁=1.267182e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.194327e-07 | ‖ω‖₁=1.046736e+02
