2025-06-17 13:03:17,757 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-17 13:03:17,757 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250617_130317.log
2025-06-17 13:03:17,758 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-17 13:03:17,758 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-17 13:03:17,758 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-17 13:03:17,759 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256, 2048]
2025-06-17 13:03:17,759 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-17 13:03:17,760 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-17 13:03:17,760 - sparsemodesnet.heat_equation - INFO - Training parameters: M=4.0, lr=0.001, batch_size=64
2025-06-17 13:03:17,760 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-17 13:03:17,760 - sparsemodesnet.heat_equation - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-17 13:03:17,761 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.346880e-02 | ‖ω‖₁=1.269301e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.460238e-07 | ‖ω‖₁=1.085814e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.228167e-07 | ‖ω‖₁=8.827636e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.343635e-07 | ‖ω‖₁=6.798689e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.091912e-06 | ‖ω‖₁=4.766664e+01
  λ=1.000e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=3.485301e-06 | ‖ω‖₁=2.733965e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.458880e-05 | ‖ω‖₁=6.982892e+00
  λ=1.000e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=2.986423e-05 | ‖ω‖₁=3.141216e+00
  λ=1.000e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=2.926375e-04 | ‖ω‖₁=2.718435e+00
  → at λ=1.000e-03:  r(λ)=128,  rel_err=5.251569e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 128)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.859970e-02 | ‖ω‖₁=1.267145e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.069221e-07 | ‖ω‖₁=1.046532e+02
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=9.095994e-07 | ‖ω‖₁=8.025811e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.370272e-06 | ‖ω‖₁=5.587020e+01
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.211809e-06 | ‖ω‖₁=3.145808e+01
  λ=1.200e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=3.250276e-05 | ‖ω‖₁=7.051698e+00
